run_id,timestamp,host,os,go_version,cxx_version,cxx_flags,cpp_commit,input,input_sha256,input_size,level,bias,iterations,compressed_size_cpp,compressed_size_go,ratio_cpp,ratio_go,size_delta_bytes,size_delta_pct,size_gate,compress_mbps_cpp,compress_mbps_go,compress_speed_pct,compress_gate,decompress_artifact_origin,decompress_artifact_size,decompress_artifact_sha256,decompress_mbps_cpp,decompress_mbps_go,decompress_speed_pct,decompress_gate,go_compress_bytes_per_op,go_decompress_bytes_per_op,decode_reuse_mbps_cpp,decode_reuse_mbps_go,decode_reuse_speed_pct,go_decode_reuse_bytes_per_op,compress_reuse_mbps_cpp,compress_reuse_mbps_go,compress_reuse_speed_pct,go_compress_reuse_bytes_per_op,compress_speed_delta_pct,decompress_speed_delta_pct,decode_reuse_speed_delta_pct,compress_reuse_speed_delta_pct
20260614T111957Z-66026,2026-06-14T11:19:57Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus/corpora/canterbury/alice29.txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,152089,0,0.05,50,60539,60520,0.398050,0.397925,-19,-0.03,not_evaluated,426.49,187.08,43.87,not_evaluated,cpp,60539,846e45b48110c463e0e1a0843646bdbf68d0a7e1a8973c4dd7084ec82c17fb24,1736.36,918.88,52.92,not_evaluated,88462,158612,1729.45,898.13,51.93,2621,518.02,196.45,37.92,31216,-56.13,-47.08,-48.07,-62.08
20260614T111957Z-66026,2026-06-14T11:19:57Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus/corpora/canterbury/alice29.txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,152089,0,0.05,50,60539,60520,0.398050,0.397925,-19,-0.03,not_evaluated,426.49,187.08,43.87,not_evaluated,go,60520,2f1d1a9d4351eb8423e7fd99bb307ca63d9f4aaddcae3b944668906e82db4dd3,1769.15,907.80,51.31,not_evaluated,88462,161233,1761.34,1034.82,58.75,5242,518.02,196.45,37.92,31216,-56.13,-48.69,-41.25,-62.08
20260614T111957Z-66026,2026-06-14T11:19:57Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus/corpora/canterbury/alice29.txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,152089,6,0.05,50,50813,51284,0.334100,0.337197,471,0.93,not_evaluated,21.50,14.21,66.09,not_evaluated,cpp,50813,6a9cde23b7ef31cb5452c14d937f1d5e5c27ff249ee7912030be37b9a357f08b,1719.04,874.46,50.87,not_evaluated,155180,155893,1708.29,930.22,54.45,2621,22.17,13.90,62.70,96727,-33.91,-49.13,-45.55,-37.30
20260614T111957Z-66026,2026-06-14T11:19:57Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus/corpora/canterbury/alice29.txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,152089,6,0.05,50,50813,51284,0.334100,0.337197,471,0.93,not_evaluated,21.50,14.21,66.09,not_evaluated,go,51284,3a6956ac3addb7e709f6e35c0e60741664b2a9771a2d4618aa74ceb1fad1ccea,1620.99,968.55,59.75,not_evaluated,155180,155998,1781.06,1023.29,57.45,3932,22.17,13.90,62.70,96727,-33.91,-40.25,-42.55,-37.30
20260614T111957Z-66026,2026-06-14T11:19:57Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus/corpora/canterbury/alice29.txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,152089,10,0.05,50,49627,49951,0.326302,0.328433,324,0.65,not_evaluated,0.92,0.91,98.91,not_evaluated,cpp,49627,f739d386e2378c7d99727ab154a04183d0246de9d509748cf10c18c930773d6a,1700.41,878.72,51.68,not_evaluated,699618,155998,1654.57,982.29,59.37,2621,0.91,0.91,100.00,622814,-1.09,-48.32,-40.63,0.00
20260614T111957Z-66026,2026-06-14T11:19:57Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus/corpora/canterbury/alice29.txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,152089,10,0.05,50,49627,49951,0.326302,0.328433,324,0.65,not_evaluated,0.92,0.91,98.91,not_evaluated,go,49951,1a02dd29d33c6a09700f3919acf93b5d4e227b68565a73ff40d13269476299a1,1759.70,901.13,51.21,not_evaluated,699618,158614,1728.17,971.82,56.23,2621,0.91,0.91,100.00,622814,-1.09,-48.79,-43.77,0.00
20260614T111957Z-66026,2026-06-14T11:19:57Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus/corpora/canterbury/kennedy.xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1029744,0,0.05,50,88627,89981,0.086067,0.087382,1354,1.53,not_evaluated,992.20,725.41,73.11,not_evaluated,cpp,88627,b64c0a040d0f9486cc69cc5b890a44acc8b44d5f73d8210a0242ab86ce5ee799,2272.97,1382.67,60.83,not_evaluated,158089,1033189,2337.01,1497.41,64.07,1351,995.64,686.31,68.93,51714,-26.89,-39.17,-35.93,-31.07
20260614T111957Z-66026,2026-06-14T11:19:57Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus/corpora/canterbury/kennedy.xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1029744,0,0.05,50,88627,89981,0.086067,0.087382,1354,1.53,not_evaluated,992.20,725.41,73.11,not_evaluated,go,89981,69ee4f7bde4361a632f9578c335b672f4afeb5858731c8642fb87ca09440883b,2317.91,1384.17,59.72,not_evaluated,158089,1033296,2358.56,1520.32,64.46,4014,995.64,686.31,68.93,51714,-26.89,-40.28,-35.54,-31.07
20260614T111957Z-66026,2026-06-14T11:19:57Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus/corpora/canterbury/kennedy.xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1029744,6,0.05,50,78692,80042,0.076419,0.077730,1350,1.72,not_evaluated,60.69,35.22,58.03,not_evaluated,cpp,78692,1c43372ec775ff176fa54eae2374a7bcc816d78501f3779c594cb283a11042e0,1628.64,1028.29,63.14,not_evaluated,373687,1033193,1674.39,1090.79,65.15,1474,60.48,34.81,57.56,264796,-41.97,-36.86,-34.85,-42.44
20260614T111957Z-66026,2026-06-14T11:19:57Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus/corpora/canterbury/kennedy.xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1029744,6,0.05,50,78692,80042,0.076419,0.077730,1350,1.72,not_evaluated,60.69,35.22,58.03,not_evaluated,go,80042,51184839908a80db7e004baea9fe89dbc316317ec26129d638e25b3fa911478a,1660.41,1036.43,62.42,not_evaluated,373687,1034787,1715.66,1095.13,63.83,1392,60.48,34.81,57.56,264796,-41.97,-37.58,-36.17,-42.44
20260614T111957Z-66026,2026-06-14T11:19:57Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus/corpora/canterbury/kennedy.xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1029744,10,0.05,50,58184,59221,0.056503,0.057510,1037,1.78,not_evaluated,1.08,1.03,95.37,not_evaluated,cpp,58184,2bf59acc840921c97df57469fb7260a7ee173e6b20361ffdc681f3620393fde3,2108.77,1321.79,62.68,not_evaluated,1601642,1034746,2107.81,1380.11,65.48,1351,1.08,1.03,95.37,1107623,-4.63,-37.32,-34.52,-4.63
20260614T111957Z-66026,2026-06-14T11:19:57Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus/corpora/canterbury/kennedy.xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1029744,10,0.05,50,58184,59221,0.056503,0.057510,1037,1.78,not_evaluated,1.08,1.03,95.37,not_evaluated,go,59221,1542e3dd7568ccc3d11b4cfc650dbc3b8680b7c619a6c3e34346deae86bbfcb8,1985.80,1239.52,62.42,not_evaluated,1601642,1033299,2075.65,1334.47,64.29,1331,1.08,1.03,95.37,1107623,-4.63,-37.58,-35.71,-4.63
20260614T111957Z-66026,2026-06-14T11:19:57Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus/corpora/canterbury/ptt5,0ec3a75089bb52342813496b17e51377bc9eba3cb519a444d67025354841d650,513216,0,0.05,50,57969,57915,0.112952,0.112847,-54,-0.09,not_evaluated,1740.94,783.89,45.03,not_evaluated,cpp,57969,cef345e2f5fb8503b77460d3b066bbdf85be4ed5c3d305f47658b4b5e79f395d,4296.61,2408.49,56.06,not_evaluated,94381,518294,4516.98,2988.23,66.16,1474,1679.72,793.93,47.27,40576,-54.97,-43.94,-33.84,-52.73
20260614T111957Z-66026,2026-06-14T11:19:57Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus/corpora/canterbury/ptt5,0ec3a75089bb52342813496b17e51377bc9eba3cb519a444d67025354841d650,513216,0,0.05,50,57969,57915,0.112952,0.112847,-54,-0.09,not_evaluated,1740.94,783.89,45.03,not_evaluated,go,57915,8a2ef48886d278bf177d534078475fa45709a21cbe14abe700217208929969c7,4975.03,2404.78,48.34,not_evaluated,94381,516724,4848.44,3471.80,71.61,1474,1679.72,793.93,47.27,40576,-54.97,-51.66,-28.39,-52.73
20260614T111957Z-66026,2026-06-14T11:19:57Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus/corpora/canterbury/ptt5,0ec3a75089bb52342813496b17e51377bc9eba3cb519a444d67025354841d650,513216,6,0.05,50,45464,45148,0.088586,0.087971,-316,-0.70,not_evaluated,76.65,59.39,77.48,not_evaluated,cpp,45464,25ede3c96e8e93afdf4390d46702836bc9884a76d30f7c48647a0775a4a5e9ed,5937.37,2212.19,37.26,not_evaluated,197762,518296,5454.43,2877.60,52.76,1474,81.08,59.27,73.10,143957,-22.52,-62.74,-47.24,-26.90
20260614T111957Z-66026,2026-06-14T11:19:57Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus/corpora/canterbury/ptt5,0ec3a75089bb52342813496b17e51377bc9eba3cb519a444d67025354841d650,513216,6,0.05,50,45464,45148,0.088586,0.087971,-316,-0.70,not_evaluated,76.65,59.39,77.48,not_evaluated,go,45148,8070ee602301a1cdaadf168f6234db2aeccec7a7fe73d659dd23cae45d6208f0,6071.41,2699.22,44.46,not_evaluated,197762,516724,5830.62,2431.41,41.70,1474,81.08,59.27,73.10,143957,-22.52,-55.54,-58.30,-26.90
20260614T111957Z-66026,2026-06-14T11:19:57Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus/corpora/canterbury/ptt5,0ec3a75089bb52342813496b17e51377bc9eba3cb519a444d67025354841d650,513216,10,0.05,50,41483,41786,0.080830,0.081420,303,0.73,not_evaluated,1.06,1.06,100.00,not_evaluated,cpp,41483,daba61b93d8ebe52b7160fc0b1ad54bf7f3c249fe753896d32757ca1370bde24,5979.62,2597.83,43.44,not_evaluated,1589151,518321,5627.52,3621.93,64.36,1392,1.06,1.06,100.00,1338713,0.00,-56.56,-35.64,0.00
20260614T111957Z-66026,2026-06-14T11:19:57Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus/corpora/canterbury/ptt5,0ec3a75089bb52342813496b17e51377bc9eba3cb519a444d67025354841d650,513216,10,0.05,50,41483,41786,0.080830,0.081420,303,0.73,not_evaluated,1.06,1.06,100.00,not_evaluated,go,41786,41a2613b0b89c6d16f4258bcc1bbb20d0788db649902df7a594d2b20c7b9cebe,5311.97,2821.21,53.11,not_evaluated,1589151,516724,5764.04,3287.23,57.03,1392,1.06,1.06,100.00,1338713,0.00,-46.89,-42.97,0.00
