run_id,timestamp,host,os,go_version,cxx_version,cxx_flags,cpp_commit,input,input_sha256,input_size,level,bias,iterations,compressed_size_cpp,compressed_size_go,ratio_cpp,ratio_go,size_delta_bytes,size_delta_pct,size_gate,compress_mbps_cpp,compress_mbps_go,compress_speed_pct,compress_gate,decompress_artifact_origin,decompress_artifact_size,decompress_artifact_sha256,decompress_mbps_cpp,decompress_mbps_go,decompress_speed_pct,decompress_gate,go_compress_bytes_per_op,go_decompress_bytes_per_op
20260613T015749Z-18893,2026-06-13T01:57:49Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,152089,0,0.05,3,60539,60647,0.398050,0.398760,108,0.18,not_evaluated,311.70,94.67,30.37,not_evaluated,cpp,60539,846e45b48110c463e0e1a0843646bdbf68d0a7e1a8973c4dd7084ec82c17fb24,1419.18,24.86,1.75,not_evaluated,2477909,294288
20260613T015749Z-18893,2026-06-13T01:57:49Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,152089,0,0.05,3,60539,60647,0.398050,0.398760,108,0.18,not_evaluated,311.70,94.67,30.37,not_evaluated,go,60647,0ebda2f1ffd01df97028101e607839723031ebe2f5d7807340b84498bd9618d1,1615.82,24.14,1.49,not_evaluated,2477909,294288
20260613T015749Z-18893,2026-06-13T01:57:49Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,152089,6,0.05,3,50813,50819,0.334100,0.334140,6,0.01,not_evaluated,21.11,5.40,25.58,not_evaluated,cpp,50813,6a9cde23b7ef31cb5452c14d937f1d5e5c27ff249ee7912030be37b9a357f08b,1519.20,34.06,2.24,not_evaluated,59345341,284176
20260613T015749Z-18893,2026-06-13T01:57:49Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,152089,6,0.05,3,50813,50819,0.334100,0.334140,6,0.01,not_evaluated,21.11,5.40,25.58,not_evaluated,go,50819,fb3d8666b4b427acedd9b61d8b553cfe0eae11e7e74b457276c9e61807b386d1,1600.47,33.25,2.08,not_evaluated,59345341,284176
20260613T015749Z-18893,2026-06-13T01:57:49Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,152089,10,0.05,3,49627,49574,0.326302,0.325954,-53,-0.11,not_evaluated,0.94,0.36,38.30,not_evaluated,cpp,49627,f739d386e2378c7d99727ab154a04183d0246de9d509748cf10c18c930773d6a,1640.76,35.41,2.16,not_evaluated,730906976,277690
20260613T015749Z-18893,2026-06-13T01:57:49Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus-canterbury/corpora/canterbury/alice29.txt,7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0,152089,10,0.05,3,49627,49574,0.326302,0.325954,-53,-0.11,not_evaluated,0.94,0.36,38.30,not_evaluated,go,49574,8fa5ccf4eb463a7063858c2088aa3853c84b41b7f7f3432a7ee81dc8a4df9937,1675.40,36.15,2.16,not_evaluated,730906976,283024
20260613T015749Z-18893,2026-06-13T01:57:49Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus-canterbury/corpora/canterbury/kennedy.xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1029744,0,0.05,3,88627,88151,0.086067,0.085605,-476,-0.54,not_evaluated,946.78,245.26,25.90,not_evaluated,cpp,88627,b64c0a040d0f9486cc69cc5b890a44acc8b44d5f73d8210a0242ab86ce5ee799,1942.81,47.00,2.42,not_evaluated,7769816,1325877
20260613T015749Z-18893,2026-06-13T01:57:49Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus-canterbury/corpora/canterbury/kennedy.xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1029744,0,0.05,3,88627,88151,0.086067,0.085605,-476,-0.54,not_evaluated,946.78,245.26,25.90,not_evaluated,go,88151,ca14ab384672bd9956470abd99d44978fa66fa9ab232eb2639e840734350726f,2237.22,37.97,1.70,not_evaluated,7769816,1327685
20260613T015749Z-18893,2026-06-13T01:57:49Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus-canterbury/corpora/canterbury/kennedy.xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1029744,6,0.05,3,78692,80234,0.076419,0.077916,1542,1.96,not_evaluated,62.46,12.87,20.61,not_evaluated,cpp,78692,1c43372ec775ff176fa54eae2374a7bcc816d78501f3779c594cb283a11042e0,1465.48,50.43,3.44,not_evaluated,189288261,1316629
20260613T015749Z-18893,2026-06-13T01:57:49Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus-canterbury/corpora/canterbury/kennedy.xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1029744,6,0.05,3,78692,80234,0.076419,0.077916,1542,1.96,not_evaluated,62.46,12.87,20.61,not_evaluated,go,80234,748aeb4f0f51cea6d451f3a1653776d0409be73b1bc15398135c725f462bb3c1,1598.19,49.35,3.09,not_evaluated,189288261,1312176
20260613T015749Z-18893,2026-06-13T01:57:49Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus-canterbury/corpora/canterbury/kennedy.xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1029744,10,0.05,3,58184,58419,0.056503,0.056732,235,0.40,not_evaluated,1.11,0.44,39.64,not_evaluated,cpp,58184,2bf59acc840921c97df57469fb7260a7ee173e6b20361ffdc681f3620393fde3,2146.29,47.29,2.20,not_evaluated,5072804794,1309664
20260613T015749Z-18893,2026-06-13T01:57:49Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus-canterbury/corpora/canterbury/kennedy.xls,9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420,1029744,10,0.05,3,58184,58419,0.056503,0.056732,235,0.40,not_evaluated,1.11,0.44,39.64,not_evaluated,go,58419,693b44e261c841da1e9830cbbf77a1fad4fd88fe9ea9f65895c2e87f248f5c57,2080.93,48.15,2.31,not_evaluated,5072804794,1313736
20260613T015749Z-18893,2026-06-13T01:57:49Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus-canterbury/corpora/canterbury/ptt5,0ec3a75089bb52342813496b17e51377bc9eba3cb519a444d67025354841d650,513216,0,0.05,3,57969,58049,0.112952,0.113108,80,0.14,not_evaluated,1135.75,296.17,26.08,not_evaluated,cpp,57969,cef345e2f5fb8503b77460d3b066bbdf85be4ed5c3d305f47658b4b5e79f395d,4093.00,73.45,1.79,not_evaluated,3170024,620064
20260613T015749Z-18893,2026-06-13T01:57:49Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus-canterbury/corpora/canterbury/ptt5,0ec3a75089bb52342813496b17e51377bc9eba3cb519a444d67025354841d650,513216,0,0.05,3,57969,58049,0.112952,0.113108,80,0.14,not_evaluated,1135.75,296.17,26.08,not_evaluated,go,58049,b77acfcad24b0ba365467b1024a6169469cf589050670e6d1a696ecde48d9bf2,4111.21,72.10,1.75,not_evaluated,3170024,619808
20260613T015749Z-18893,2026-06-13T01:57:49Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus-canterbury/corpora/canterbury/ptt5,0ec3a75089bb52342813496b17e51377bc9eba3cb519a444d67025354841d650,513216,6,0.05,3,45464,45395,0.088586,0.088452,-69,-0.15,not_evaluated,78.01,11.27,14.45,not_evaluated,cpp,45464,25ede3c96e8e93afdf4390d46702836bc9884a76d30f7c48647a0775a4a5e9ed,5087.64,99.08,1.95,not_evaluated,967841528,589200
20260613T015749Z-18893,2026-06-13T01:57:49Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus-canterbury/corpora/canterbury/ptt5,0ec3a75089bb52342813496b17e51377bc9eba3cb519a444d67025354841d650,513216,6,0.05,3,45464,45395,0.088586,0.088452,-69,-0.15,not_evaluated,78.01,11.27,14.45,not_evaluated,go,45395,387308b13c3a7ec5ef45e699a63b42af38d46637d72e75d0b0943bc671960bdc,5009.71,97.23,1.94,not_evaluated,967841528,589328
20260613T015749Z-18893,2026-06-13T01:57:49Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus-canterbury/corpora/canterbury/ptt5,0ec3a75089bb52342813496b17e51377bc9eba3cb519a444d67025354841d650,513216,10,0.05,3,41483,41486,0.080830,0.080835,3,0.01,not_evaluated,1.08,0.39,36.11,not_evaluated,cpp,41483,daba61b93d8ebe52b7160fc0b1ad54bf7f3c249fe753896d32757ca1370bde24,5106.63,100.22,1.96,not_evaluated,4599044397,580368
20260613T015749Z-18893,2026-06-13T01:57:49Z,F9PX1F4KX4,Darwin 24.6.0 arm64,go version go1.24.1 darwin/arm64,Apple clang version 16.0.0 (clang-1600.0.26.6),-O2,650b34b17a25b89024b7d19820c17c95a9d7591c,/tmp/skanda-public-corpus-canterbury/corpora/canterbury/ptt5,0ec3a75089bb52342813496b17e51377bc9eba3cb519a444d67025354841d650,513216,10,0.05,3,41483,41486,0.080830,0.080835,3,0.01,not_evaluated,1.08,0.39,36.11,not_evaluated,go,41486,b11bab1bc99414ef917c9f6c64ade23241a70dbaaea1fce24185bd3eadf4d082,5047.35,101.58,2.01,not_evaluated,4599044397,580208
